variable,source_variable,source_dataset,description,source
coal_cons_change_pct,coal__pct_growth,energy_mix,Annual percentage change in coal consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
coal_cons_change_twh,coal__twh_growth,energy_mix,"Annual change in coal consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
coal_cons_per_capita,coal_per_capita__kwh,energy_mix,"Per capita primary energy consumption from coal, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
coal_consumption,coal__twh,energy_mix,"Primary energy consumption from coal, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
coal_elec_per_capita,per_capita_coal_generation__kwh,electricity_mix,"Per capita electricity generation from coal, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
coal_electricity,coal_generation__twh,electricity_mix,"Electricity generation from coal, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
coal_prod_change_pct,annual_change_in_coal_production__pct,fossil_fuel_production,Annual percentage change in coal production,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
coal_prod_change_twh,annual_change_in_coal_production__twh,fossil_fuel_production,"Annual change in coal production, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
coal_prod_per_capita,coal_production_per_capita__kwh,fossil_fuel_production,"Per capita coal production, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
coal_production,coal_production__twh,fossil_fuel_production,"Coal production, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
coal_share_elec,coal_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from coal,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
coal_share_energy,coal__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from coal,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
electricity_demand,total_demand__twh,electricity_mix,"Electricity demand, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
electricity_generation,total_generation__twh,electricity_mix,"Electricity generation, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
electricity_share_energy,total_electricity_share_of_primary_energy__pct,electricity_mix,"Electricity generation as a share of primary energy",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
energy_cons_change_pct,annual_change_in_primary_energy_consumption__pct,primary_energy_consumption,Annual percentage change in primary energy consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and the U.S. Energy Information Administration (EIA) International Energy Data
energy_cons_change_twh,annual_change_in_primary_energy_consumption__twh,primary_energy_consumption,"Annual change in primary energy consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and the U.S. Energy Information Administration (EIA) International Energy Data
energy_per_capita,primary_energy_consumption_per_capita__kwh,primary_energy_consumption,"Primary energy consumption per capita, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and the U.S. Energy Information Administration (EIA) International Energy Data
energy_per_gdp,primary_energy_consumption_per_gdp__kwh_per_dollar,primary_energy_consumption,Energy consumption per unit of GDP. This is measured in kilowatt-hours per 2011 international-$.,"Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy, the U.S. Energy Information Administration (EIA) International Energy Data and Maddison Project Database"
fossil_cons_change_pct,fossil_fuels__pct_growth,energy_mix,Annual percentage change in fossil fuel consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
fossil_cons_change_twh,fossil_fuels__twh_growth,energy_mix,"Annual change in fossil fuel consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
fossil_elec_per_capita,per_capita_fossil_generation__kwh,electricity_mix,"Per capita electricity generation from fossil fuels, measured in kilowatt-hours. This is the sum of electricity generated from coal, oil and gas.",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
fossil_electricity,fossil_generation__twh,electricity_mix,"Electricity generation from fossil fuels, measured in terawatt-hours. This is the sum of electricity generation from coal, oil and gas.",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
fossil_energy_per_capita,fossil_fuels_per_capita__kwh,energy_mix,"Per capita fossil fuel consumption, measured in kilowatt-hours. This is the sum of primary energy from coal, oil and gas.",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
fossil_fuel_consumption,fossil_fuels__twh,energy_mix,"Fossil fuel consumption, measured in terawatt-hours. This is the sum of primary energy from coal, oil and gas.",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
fossil_share_elec,fossil_share_of_electricity__pct,electricity_mix,"Share of electricity generation that comes from fossil fuels (coal, oil and gas combined)",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
fossil_share_energy,fossil_fuels__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from fossil fuels,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
gas_cons_change_pct,gas__pct_growth,energy_mix,Annual percentage change in gas consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
gas_cons_change_twh,gas__twh_growth,energy_mix,"Annual change in gas consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
gas_consumption,gas__twh,energy_mix,"Primary energy consumption from gas, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
gas_elec_per_capita,per_capita_gas_generation__kwh,electricity_mix,"Per capita electricity generation from gas, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
gas_electricity,gas_generation__twh,electricity_mix,"Electricity generation from gas, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
gas_energy_per_capita,gas_per_capita__kwh,energy_mix,"Per capita primary energy consumption from gas, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
gas_prod_change_pct,annual_change_in_gas_production__pct,fossil_fuel_production,Annual percentage change in gas production,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
gas_prod_change_twh,annual_change_in_gas_production__twh,fossil_fuel_production,"Annual change in gas production, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
gas_prod_per_capita,gas_production_per_capita__kwh,fossil_fuel_production,"Per capita gas production, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
gas_production,gas_production__twh,fossil_fuel_production,"Gas production, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and The Shift Dataportal
